customer_id,gender,age,senior,tenure_months,monthly_charge,total_charge,num_support_calls,contract_type,payment_method,internet_service,churned
C0001,M,48,0,20,70.82,1173.49,0,two_year,credit_card,dsl,0
C0002,F,40,0,16,78.67,1013.07,3,monthly,bank_transfer,fiber,1
C0003,F,51,0,8,105.16,994.9,2,monthly,bank_transfer,no,0
C0004,F,63,0,72,54.58,4303.1,0,monthly,electronic_check,fiber,0
C0005,F,38,0,18,84.22,1426.97,1,monthly,electronic_check,no,0
C0006,M,38,0,5,65.17,299.33,3,yearly,credit_card,fiber,1
C0007,F,64,0,2,75.72,142.34,2,monthly,mailed_check,no,0
C0008,M,52,0,3,106.96,356.13,1,monthly,credit_card,fiber,1
C0009,M,35,0,5,79.78,424.65,3,yearly,electronic_check,dsl,1
C0010,M,49,0,3,76.16,199.71,4,monthly,mailed_check,dsl,0
C0011,F,35,0,4,41.0,142.62,0,yearly,credit_card,no,1
C0012,M,35,0,6,93.66,471.69,1,monthly,electronic_check,no,0
C0013,M,45,0,3,91.14,290.95,1,yearly,credit_card,dsl,0
C0014,F,18,0,45,129.08,6422.85,2,yearly,bank_transfer,no,0
C0015,M,18,0,1,67.31,60.98,2,monthly,bank_transfer,fiber,0
C0016,F,34,0,14,80.48,910.82,0,monthly,bank_transfer,fiber,0
C0017,F,27,0,10,81.23,676.54,2,monthly,mailed_check,fiber,1
C0018,F,46,0,72,114.44,9781.69,0,yearly,electronic_check,fiber,0
C0019,M,29,0,2,72.62,133.36,4,monthly,bank_transfer,fiber,1
C0020,F,22,0,10,81.98,908.08,1,monthly,electronic_check,dsl,0
C0021,F,62,0,69,90.2,6534.15,5,monthly,mailed_check,fiber,0
C0022,F,38,0,40,79.67,3036.31,1,monthly,credit_card,dsl,0
C0023,F,42,0,33,63.84,1858.71,1,monthly,mailed_check,fiber,0
C0024,M,22,0,5,79.85,338.79,0,yearly,credit_card,fiber,0
C0025,F,34,0,3,101.84,319.58,1,monthly,electronic_check,dsl,1
C0026,M,43,0,22,49.34,1204.72,2,monthly,credit_card,dsl,1
C0027,F,25,0,53,78.32,4389.9,0,yearly,credit_card,dsl,0
C0028,M,47,0,16,57.5,931.15,3,yearly,bank_transfer,dsl,0
C0029,F,33,0,16,104.88,1370.62,4,monthly,bank_transfer,fiber,0
C0030,M,37,0,6,36.92,263.03,2,monthly,credit_card,dsl,1
C0031,F,33,0,29,61.03,1981.34,5,monthly,credit_card,fiber,1
C0032,M,67,1,4,84.43,309.73,2,two_year,bank_transfer,fiber,0
C0033,M,41,0,7,114.14,952.37,3,monthly,mailed_check,fiber,1
C0034,M,27,0,11,73.36,839.85,1,two_year,credit_card,fiber,0
C0035,F,53,0,14,61.12,883.89,2,yearly,credit_card,fiber,0
C0036,M,24,0,5,122.03,670.69,0,monthly,bank_transfer,no,1
C0037,M,44,0,2,38.8,87.28,3,monthly,credit_card,no,1
C0038,M,18,0,18,20.03,383.11,1,monthly,electronic_check,fiber,1
C0039,M,23,0,6,86.0,439.24,3,monthly,electronic_check,fiber,0
C0040,F,44,0,17,62.45,992.97,3,monthly,bank_transfer,fiber,1
C0041,M,52,0,3,49.47,173.82,1,yearly,credit_card,fiber,0
C0042,M,44,0,13,92.71,1072.47,3,two_year,electronic_check,no,0
C0043,M,40,0,15,81.1,1154.3,0,yearly,bank_transfer,fiber,0
C0044,F,37,0,1,60.9,59.25,1,yearly,electronic_check,dsl,0
C0045,M,21,0,8,42.99,335.58,0,monthly,bank_transfer,fiber,0
C0046,M,31,0,2,96.81,202.37,2,monthly,electronic_check,no,1
C0047,M,35,0,1,91.26,107.43,1,monthly,bank_transfer,fiber,1
C0048,M,56,0,72,72.52,4679.86,4,yearly,bank_transfer,dsl,0
C0049,F,46,0,7,121.17,719.77,3,two_year,mailed_check,fiber,0
C0050,M,18,0,33,48.25,1399.57,1,yearly,bank_transfer,dsl,1
C0051,M,46,0,5,36.86,212.82,1,monthly,bank_transfer,fiber,0
C0052,F,36,0,22,57.7,1343.44,4,monthly,credit_card,fiber,0
C0053,F,32,0,28,73.86,1890.98,1,yearly,bank_transfer,no,0
C0054,F,50,0,18,81.08,1643.88,1,monthly,bank_transfer,no,0
C0055,M,56,0,12,68.97,947.27,1,yearly,credit_card,no,0
C0056,F,55,0,10,83.8,954.15,3,yearly,credit_card,dsl,1
C0057,M,30,0,8,43.71,408.28,1,yearly,bank_transfer,dsl,0
C0058,F,37,0,53,111.09,5304.27,2,monthly,electronic_check,fiber,0
C0059,M,46,0,35,72.95,2813.72,5,monthly,bank_transfer,fiber,1
C0060,F,55,0,67,102.93,6787.46,1,monthly,credit_card,fiber,0
C0061,M,35,0,2,83.57,190.0,2,monthly,electronic_check,dsl,0
C0062,F,39,0,26,86.42,2452.28,5,monthly,credit_card,fiber,0
C0063,M,26,0,55,89.24,5450.94,1,yearly,bank_transfer,fiber,0
C0064,M,25,0,3,86.19,274.72,4,yearly,credit_card,dsl,0
C0065,M,53,0,1,91.07,79.32,4,monthly,credit_card,dsl,1
C0066,M,60,0,27,108.23,2974.84,1,monthly,credit_card,fiber,1
C0067,M,40,0,17,79.91,1621.83,2,monthly,credit_card,fiber,0
C0068,M,56,0,36,92.73,3922.33,3,monthly,credit_card,fiber,0
C0069,M,47,0,3,72.76,178.39,6,yearly,credit_card,fiber,0
C0070,M,32,0,31,111.0,2979.65,0,monthly,bank_transfer,fiber,1
C0071,F,47,0,4,58.09,198.13,4,monthly,bank_transfer,dsl,0
C0072,M,63,0,3,120.02,392.61,3,monthly,credit_card,dsl,1
C0073,M,41,0,3,74.0,250.22,1,two_year,electronic_check,dsl,0
C0074,F,63,0,33,39.23,1146.24,4,yearly,credit_card,fiber,0
C0075,M,18,0,21,78.2,1646.04,1,monthly,bank_transfer,dsl,1
C0076,F,53,0,14,57.97,922.18,2,monthly,credit_card,fiber,0
C0077,M,43,0,8,96.02,839.69,1,yearly,credit_card,dsl,0
C0078,F,37,0,41,58.68,2446.53,4,two_year,bank_transfer,dsl,0
C0079,F,43,0,9,63.85,595.42,3,monthly,bank_transfer,fiber,1
C0080,M,18,0,33,27.76,919.14,6,two_year,electronic_check,fiber,0
C0081,F,38,0,11,63.69,643.86,1,two_year,bank_transfer,no,1
C0082,M,46,0,9,20.0,184.68,2,two_year,mailed_check,fiber,0
C0083,M,62,0,12,35.4,456.9,1,yearly,credit_card,dsl,0
C0084,M,34,0,7,94.01,756.34,2,yearly,credit_card,fiber,1
C0085,M,30,0,27,94.65,2694.87,3,monthly,credit_card,dsl,1
