bedrooms,bathrooms,area_m2,age_years,district,price_try
3,3,151,39,Bakırköy,5166497
3,3,109,44,Üsküdar,3294775
3,3,127,3,Beşiktaş,6531125
4,4,167,8,Ataşehir,5519334
4,4,138,40,Bakırköy,4718318
3,2,119,21,Beşiktaş,5211985
2,3,117,17,Şişli,4882916
3,2,143,11,Maltepe,3185137
3,4,160,41,Ataşehir,4363394
2,3,94,42,Şişli,3764037
4,4,171,38,Şişli,6679569
3,4,123,8,Bakırköy,3847668
2,1,127,5,Şişli,4484769
2,2,139,18,Üsküdar,4531590
2,2,122,47,Üsküdar,3998196
4,4,196,46,Bakırköy,5721564
2,3,110,6,Beşiktaş,5937293
2,1,130,15,Kadiköy,5912323
3,3,141,4,Beşiktaş,7517277
2,2,84,15,Beşiktaş,3874457
1,1,86,0,Beşiktaş,4250709
2,2,85,36,Beşiktaş,4320872
3,3,198,38,Ataşehir,6017426
3,4,131,18,Kadiköy,5243672
3,2,156,36,Ataşehir,3817652
3,4,139,16,Şişli,4597326
5,4,169,25,Maltepe,4456707
3,3,92,21,Beşiktaş,4622159
2,2,128,7,Maltepe,3540268
2,2,148,32,Üsküdar,4621254
3,3,121,1,Bakırköy,3533446
4,4,128,29,Bakırköy,3946358
2,2,101,46,Ataşehir,2581395
3,4,116,19,Ataşehir,2950824
1,1,63,17,Üsküdar,2203805
3,2,155,42,Beşiktaş,7128539
4,4,168,9,Maltepe,4602309
2,3,89,23,Maltepe,2106599
3,3,154,3,Kadiköy,6043077
2,3,126,36,Şişli,4522483
3,4,131,3,Bakırköy,4692231
2,2,113,12,Şişli,3651789
4,3,183,24,Kadiköy,8186965
2,2,120,12,Ataşehir,3233703
4,4,171,17,Maltepe,4819416
3,3,175,23,Bakırköy,5927742
3,3,154,1,Şişli,5630398
2,2,98,47,Ataşehir,2766567
4,4,158,32,Kadiköy,5812938
2,2,96,18,Şişli,4014557
2,2,125,8,Maltepe,3038374
3,3,124,27,Beşiktaş,5749922
2,2,99,34,Ataşehir,2866664
2,2,136,38,Kadiköy,5828772
4,4,174,9,Şişli,6160839
5,4,229,0,Maltepe,6181396
3,3,159,41,Beşiktaş,7061056
4,4,140,20,Beşiktaş,6484123
3,3,137,8,Kadiköy,6004861
2,2,134,46,Üsküdar,4240454
3,4,109,14,Maltepe,2670731
3,3,150,34,Maltepe,4077239
5,4,199,4,Bakırköy,5678469
2,2,66,40,Kadiköy,2709824
3,2,142,21,Beşiktaş,6178757
2,2,89,40,Beşiktaş,3422871
2,2,80,22,Kadiköy,2913394
1,1,80,6,Üsküdar,2803939
5,4,151,22,Bakırköy,5228671
4,3,153,43,Şişli,4906698
4,3,233,24,Kadiköy,8136627
3,4,156,26,Bakırköy,5435698
2,2,87,40,Maltepe,1820718
2,2,145,5,Bakırköy,5060102
2,1,85,33,Ataşehir,2136773
3,2,126,8,Beşiktaş,6496352
4,4,141,48,Şişli,4967302
3,3,146,32,Kadiköy,6508408
2,2,144,5,Beşiktaş,7147970
1,1,55,36,Ataşehir,1371378
2,2,58,30,Ataşehir,1406226
3,2,167,33,Beşiktaş,8256259
4,3,208,40,Üsküdar,7332403
3,3,90,28,Bakırköy,2433498
4,4,181,13,Kadiköy,6391504
3,3,145,35,Kadiköy,6356420
3,3,120,35,Kadiköy,4492967
2,2,75,14,Beşiktaş,3715799
4,4,194,7,Maltepe,4880035
4,4,174,25,Üsküdar,6703525
2,1,116,35,Şişli,4732121
3,3,124,47,Ataşehir,3914212
3,4,119,20,Beşiktaş,5067475
3,3,78,27,Maltepe,2222213
4,4,164,3,Şişli,5919147
3,2,175,15,Ataşehir,5061748
3,3,117,21,Ataşehir,3340274
2,1,71,11,Üsküdar,2140629
2,2,120,15,Bakırköy,4208621
2,3,125,39,Kadiköy,4263981
1,2,65,37,Şişli,2364370
3,3,131,41,Beşiktaş,6553718
3,3,146,36,Şişli,5878366
2,3,106,28,Bakırköy,2885700
4,4,195,17,Kadiköy,7888439
2,1,170,9,Şişli,6929213
2,2,67,41,Bakırköy,1886311
2,2,140,38,Beşiktaş,6253899
3,3,142,17,Üsküdar,4586973
2,2,144,0,Maltepe,3576460
3,3,158,38,Ataşehir,4872873
3,3,141,20,Beşiktaş,6555540
5,4,219,0,Kadiköy,9345166
2,2,100,14,Ataşehir,2735850
2,3,90,3,Maltepe,2280385
2,2,130,19,Beşiktaş,5133722
3,3,118,9,Beşiktaş,5323191
2,3,126,22,Beşiktaş,5694557
4,4,170,40,Beşiktaş,8269105
3,3,81,33,Ataşehir,2273908
3,2,125,45,Kadiköy,4730563
3,3,148,47,Maltepe,3483012
2,3,99,32,Bakırköy,2777290
2,3,46,33,Şişli,1914237
2,3,143,38,Üsküdar,4760853
3,3,144,9,Maltepe,3125723
2,2,121,19,Şişli,3835847
2,1,98,0,Şişli,4302635
5,4,213,12,Üsküdar,6885178
1,1,125,0,Maltepe,3362382
4,4,151,4,Ataşehir,3833405
4,4,211,15,Kadiköy,9744606
2,2,119,14,Üsküdar,4527163
2,2,88,48,Kadiköy,3452088
2,2,165,27,Ataşehir,3848659
3,2,149,30,Şişli,5141191
3,3,156,22,Kadiköy,6154028
4,4,163,47,Ataşehir,4494993
4,4,150,44,Ataşehir,3956346
3,4,144,42,Bakırköy,3792090
2,2,149,16,Üsküdar,5185515
2,2,102,48,Bakırköy,3041884
4,4,169,33,Şişli,5951574
2,2,146,12,Üsküdar,4282844
2,3,102,13,Şişli,4402882
3,3,152,10,Bakırköy,4784006
3,4,161,27,Maltepe,4302897
4,4,165,41,Ataşehir,4564257
3,4,147,31,Şişli,4716890
2,1,126,34,Üsküdar,3951611
4,4,159,30,Üsküdar,5223994
2,2,130,16,Şişli,5313664
2,2,96,46,Üsküdar,3280053
3,3,123,8,Ataşehir,3315495
2,3,71,9,Maltepe,2084508
3,2,127,7,Ataşehir,3471151
2,2,89,20,Üsküdar,3502435
3,4,129,12,Şişli,5666123
3,3,155,49,Bakırköy,4269143
4,3,126,4,Üsküdar,4318931
4,4,120,5,Üsküdar,4354193
2,2,91,29,Üsküdar,3214316
3,4,151,30,Üsküdar,5191316
3,3,147,16,Şişli,6338465
2,2,90,10,Bakırköy,3041510
4,4,199,19,Bakırköy,5732924
3,3,123,47,Kadiköy,4303185
2,1,121,8,Üsküdar,4404633
3,3,130,1,Üsküdar,4141678
2,2,88,36,Kadiköy,3756435
3,2,124,0,Bakırköy,3792110
2,3,128,3,Beşiktaş,5723960
5,4,209,35,Ataşehir,5064403
4,4,194,24,Beşiktaş,9701775
3,3,149,2,Bakırköy,4207749
3,3,99,8,Maltepe,2795537
4,4,222,21,Üsküdar,7631835
3,4,149,22,Beşiktaş,7586134
2,2,122,11,Şişli,4680962
3,3,130,9,Şişli,4361403
4,4,197,33,Kadiköy,8625149
3,3,112,42,Bakırköy,3004742
3,2,155,9,Bakırköy,4873659
4,3,118,29,Beşiktaş,5132954
4,4,186,21,Üsküdar,6951714
4,4,143,5,Bakırköy,5241021
2,1,116,49,Beşiktaş,5236165
3,3,173,1,Beşiktaş,8294506
3,2,160,29,Ataşehir,4812643
4,4,200,1,Ataşehir,4900944
3,3,168,31,Bakırköy,5834823
2,3,96,41,Beşiktaş,3921074
4,4,184,15,Kadiköy,8702073
3,2,96,11,Kadiköy,4350434
2,2,92,0,Ataşehir,2883181
3,4,174,7,Bakırköy,5742032
2,3,100,47,Üsküdar,3233773
2,2,63,49,Maltepe,1507716
1,1,130,12,Kadiköy,4425002
3,4,154,14,Kadiköy,6539469
