sepal_length,sepal_width,petal_length,petal_width,species
6.02,3.44,1.5,0.75,setosa
6.39,2.92,5.46,1.76,virginica
5.48,2.78,4.67,1.46,versicolor
6.43,2.66,5.53,2.42,virginica
6.7,3.17,5.52,1.68,virginica
5.0,3.35,0.96,-0.11,setosa
6.02,3.24,4.26,1.46,versicolor
6.49,2.55,5.3,2.39,virginica
4.82,3.14,1.29,-0.31,setosa
6.83,2.84,5.4,2.07,virginica
6.38,2.35,4.1,1.46,versicolor
6.57,3.0,4.34,1.16,versicolor
6.86,2.3,5.71,2.26,virginica
5.1,3.44,1.54,0.21,setosa
5.16,2.96,1.89,-0.91,setosa
6.53,2.28,5.68,2.11,virginica
6.52,2.82,5.72,1.69,virginica
4.85,3.57,1.65,0.43,setosa
4.88,3.05,1.39,0.06,setosa
5.41,2.76,4.93,0.48,versicolor
6.72,2.73,5.24,1.89,virginica
6.25,2.51,4.05,1.19,versicolor
5.42,3.12,1.72,-0.15,setosa
6.44,3.16,5.3,2.31,virginica
6.85,2.93,5.2,1.66,virginica
7.12,3.34,5.94,2.01,virginica
6.69,3.15,5.02,1.74,virginica
6.25,3.1,5.14,1.69,virginica
6.62,3.16,5.11,2.29,virginica
6.41,3.18,5.57,2.24,virginica
6.31,3.42,5.58,1.5,virginica
6.39,2.8,5.74,1.85,virginica
6.22,3.27,5.54,1.95,virginica
5.92,2.74,4.23,1.47,versicolor
5.84,2.71,4.71,0.78,versicolor
6.76,2.52,5.41,2.17,virginica
6.1,2.74,3.97,0.76,versicolor
4.85,3.03,1.82,0.48,setosa
6.23,3.12,3.91,1.1,versicolor
5.13,3.05,1.39,0.43,setosa
5.06,3.52,1.37,0.23,setosa
6.51,3.31,3.95,0.82,versicolor
5.77,3.09,4.38,1.26,versicolor
5.02,3.54,1.32,-0.44,setosa
4.79,3.87,1.34,0.24,setosa
5.68,2.95,4.54,1.12,versicolor
7.25,2.61,5.28,1.99,virginica
5.59,3.27,4.33,0.93,versicolor
6.32,2.9,4.42,1.26,versicolor
6.44,3.49,5.68,2.07,virginica
5.25,3.37,1.3,-0.17,setosa
5.77,2.96,4.0,1.37,versicolor
5.15,3.04,1.32,0.63,setosa
5.24,3.42,2.26,-0.4,setosa
4.89,3.36,1.98,0.25,setosa
6.11,2.6,4.2,1.02,versicolor
5.79,2.83,3.78,1.39,versicolor
5.83,3.22,4.8,1.61,versicolor
5.22,2.97,1.59,0.54,setosa
4.97,3.45,1.16,-0.05,setosa
6.55,3.01,5.82,1.66,virginica
6.07,3.31,4.53,1.88,versicolor
4.88,3.79,1.29,0.49,setosa
5.56,3.51,1.38,0.33,setosa
4.81,3.55,1.16,0.32,setosa
6.1,2.69,4.78,1.53,versicolor
6.05,2.68,4.11,1.16,versicolor
7.06,2.63,5.6,1.76,virginica
6.8,2.79,6.2,2.37,virginica
5.94,3.0,4.48,0.89,versicolor
5.64,3.24,4.03,1.45,versicolor
5.77,2.89,4.25,1.59,versicolor
4.31,3.48,1.85,0.25,setosa
5.94,3.24,3.64,1.59,versicolor
4.59,3.37,1.22,0.39,setosa
7.22,2.99,5.58,1.9,virginica
5.68,3.03,4.52,1.97,versicolor
5.39,3.06,4.57,1.43,versicolor
6.27,3.29,5.27,1.68,virginica
4.88,3.25,1.42,-0.03,setosa
5.49,2.84,4.38,1.5,versicolor
5.28,3.33,1.18,0.41,setosa
6.65,2.96,5.15,2.45,virginica
5.16,3.33,1.08,0.5,setosa
6.39,3.08,5.73,1.84,virginica
6.29,3.34,5.73,1.6,virginica
5.88,3.08,4.49,1.61,versicolor
6.26,3.38,5.54,2.47,virginica
6.68,3.04,5.2,1.95,virginica
6.29,2.91,5.62,2.18,virginica
5.11,3.17,1.69,0.38,setosa
4.97,3.72,1.53,-0.01,setosa
4.94,3.15,1.25,-0.01,setosa
5.07,3.42,1.6,0.04,setosa
6.23,3.42,4.59,1.14,versicolor
6.46,2.58,4.3,1.44,versicolor
7.12,2.97,5.45,1.94,virginica
6.33,3.18,5.07,1.89,virginica
5.36,3.23,1.8,0.13,setosa
5.8,2.89,4.16,1.28,versicolor
6.39,2.86,5.62,1.55,virginica
6.76,3.39,5.52,2.13,virginica
6.6,2.83,5.76,2.04,virginica
4.46,3.34,1.43,0.27,setosa
6.61,2.92,5.71,2.23,virginica
6.27,2.62,4.32,1.55,versicolor
4.91,3.88,1.33,0.15,setosa
5.1,3.33,1.16,0.13,setosa
6.66,2.99,5.65,1.53,virginica
5.29,3.44,1.05,0.33,setosa
5.7,2.26,4.29,0.67,versicolor
6.33,3.03,4.58,1.18,virginica
4.96,3.3,1.26,0.2,setosa
5.36,3.41,1.34,-0.1,setosa
5.63,3.21,4.62,0.88,versicolor
5.09,3.26,1.21,0.19,setosa
4.64,3.3,1.49,0.17,setosa
6.13,2.99,4.37,1.34,versicolor
4.77,3.63,1.24,0.23,setosa
4.93,3.51,1.37,0.25,setosa
4.72,3.17,1.56,0.23,setosa
5.92,2.81,4.63,1.15,versicolor
5.85,3.51,4.55,0.96,versicolor
5.91,2.85,4.41,1.54,versicolor
6.01,2.46,4.55,1.7,versicolor
5.89,2.58,3.98,2.06,versicolor
6.03,3.21,5.05,0.96,versicolor
6.36,2.64,5.54,1.21,virginica
5.88,2.98,4.7,1.6,versicolor
6.94,2.7,5.34,2.22,virginica
6.73,2.55,5.0,1.55,virginica
6.89,3.21,5.6,1.3,virginica
6.17,1.9,4.57,1.72,versicolor
5.91,2.08,4.44,1.81,versicolor
4.81,3.21,1.86,0.36,setosa
4.96,2.89,1.32,0.05,setosa
6.56,2.93,5.53,1.95,virginica
6.51,2.91,5.04,1.82,virginica
6.0,2.39,3.72,1.39,versicolor
6.4,3.13,5.56,1.6,virginica
5.38,3.3,1.33,0.0,setosa
5.65,3.73,1.59,-0.04,setosa
6.06,2.95,3.96,1.45,versicolor
5.56,2.72,4.36,1.02,versicolor
5.0,3.25,1.55,0.07,setosa
5.33,2.93,1.43,-0.24,setosa
7.13,3.29,5.6,2.85,virginica
5.59,2.9,3.83,0.96,versicolor
5.04,3.67,1.52,0.19,setosa
6.95,3.16,5.81,1.83,virginica
