order_id,customer_id,product_id,quantity,order_date,total_usd,status
O00001,C0380,P010,1,2024-10-10,175.18,pending
O00002,C0297,P027,1,2024-04-10,94.62,delivered
O00003,C0195,P037,3,2024-09-12,96.78,delivered
O00004,C0484,P022,1,2025-02-24,137.26,delivered
O00005,C0371,P032,1,2025-01-10,28.13,shipped
O00006,C0087,P009,2,2024-09-07,265.58,delivered
O00007,C0456,P035,5,2024-01-31,172.0,delivered
O00008,C0430,P005,4,2024-12-08,1623.2,delivered
O00009,C0004,P027,1,2024-11-18,94.62,delivered
O00010,C0363,P010,1,2024-09-15,175.18,delivered
O00011,C0031,P031,2,2024-01-09,90.04,delivered
O00012,C0283,P027,1,2024-09-28,94.62,delivered
O00013,C0275,P019,1,2025-02-20,37.06,delivered
O00014,C0221,P012,1,2024-02-19,194.97,delivered
O00015,C0124,P013,2,2024-05-09,91.36,shipped
O00016,C0137,P026,1,2024-07-26,138.02,delivered
O00017,C0125,P015,1,2025-02-27,43.03,shipped
O00018,C0335,P003,1,2024-07-13,426.93,delivered
O00019,C0244,P004,2,2024-12-25,861.82,delivered
O00020,C0256,P028,2,2024-06-18,131.06,delivered
O00021,C0440,P007,3,2024-01-22,1453.14,delivered
O00022,C0462,P037,1,2024-01-24,32.26,pending
O00023,C0351,P018,3,2024-10-15,115.65,delivered
O00024,C0092,P021,1,2024-04-16,56.62,delivered
O00025,C0386,P026,4,2024-06-02,552.08,delivered
O00026,C0124,P037,3,2024-07-18,96.78,delivered
O00027,C0277,P022,1,2025-01-13,137.26,delivered
O00028,C0353,P006,1,2024-06-26,42.95,delivered
O00029,C0224,P015,3,2024-06-23,129.09,delivered
O00030,C0315,P039,1,2025-01-31,21.0,delivered
O00031,C0325,P018,2,2024-08-18,77.1,delivered
O00032,C0183,P036,4,2024-08-09,109.48,delivered
O00033,C0300,P025,1,2024-11-12,149.94,delivered
O00034,C0127,P005,1,2024-03-19,405.8,delivered
O00035,C0402,P010,2,2024-06-11,350.36,delivered
O00036,C0047,P001,4,2024-08-15,790.32,delivered
O00037,C0139,P007,1,2024-04-05,484.38,delivered
O00038,C0286,P036,1,2024-02-22,27.37,delivered
O00039,C0182,P036,1,2024-11-02,27.37,shipped
O00040,C0443,P025,1,2024-07-30,149.94,delivered
O00041,C0044,P036,4,2024-05-04,109.48,delivered
O00042,C0087,P025,1,2024-05-17,149.94,delivered
O00043,C0253,P010,1,2024-08-10,175.18,delivered
O00044,C0154,P031,2,2024-07-03,90.04,delivered
O00045,C0127,P032,2,2024-04-10,56.26,delivered
O00046,C0070,P020,1,2024-07-21,18.86,delivered
O00047,C0318,P025,3,2024-06-17,449.82,delivered
O00048,C0221,P039,1,2024-06-13,21.0,delivered
O00049,C0356,P013,1,2024-03-31,45.68,pending
O00050,C0496,P021,1,2024-12-21,56.62,delivered
O00051,C0496,P037,2,2024-06-15,64.52,delivered
O00052,C0419,P026,1,2024-10-15,138.02,delivered
O00053,C0280,P012,2,2024-10-08,389.94,delivered
O00054,C0373,P030,4,2024-04-17,104.92,delivered
O00055,C0150,P005,3,2025-02-11,1217.4,shipped
O00056,C0345,P032,1,2024-06-04,28.13,delivered
O00057,C0338,P010,2,2025-02-08,350.36,delivered
O00058,C0230,P039,1,2024-07-24,21.0,delivered
O00059,C0473,P027,1,2025-02-08,94.62,pending
O00060,C0360,P035,2,2024-02-13,68.8,delivered
O00061,C0128,P023,1,2024-11-09,141.2,delivered
O00062,C0331,P026,4,2024-06-18,552.08,pending
O00063,C0221,P007,1,2024-05-12,484.38,delivered
O00064,C0383,P034,2,2024-12-18,79.9,delivered
O00065,C0229,P024,1,2025-01-30,113.81,delivered
O00066,C0354,P033,1,2024-01-13,43.46,delivered
O00067,C0152,P027,4,2024-02-13,378.48,delivered
O00068,C0482,P010,1,2024-06-24,175.18,delivered
O00069,C0106,P034,1,2024-08-31,39.95,delivered
O00070,C0370,P029,1,2024-06-02,46.41,delivered
O00071,C0364,P008,1,2024-06-24,272.05,delivered
O00072,C0347,P011,4,2025-01-14,1849.12,delivered
O00073,C0090,P036,1,2024-10-13,27.37,delivered
O00074,C0237,P015,2,2024-11-18,86.06,delivered
O00075,C0328,P028,1,2025-01-12,65.53,delivered
O00076,C0102,P029,2,2024-07-18,92.82,delivered
O00077,C0110,P014,1,2024-12-26,10.68,shipped
O00078,C0033,P037,1,2025-03-22,32.26,delivered
O00079,C0188,P021,1,2024-02-28,56.62,delivered
O00080,C0442,P032,1,2024-11-23,28.13,delivered
O00081,C0199,P026,2,2024-06-27,276.04,delivered
O00082,C0235,P012,3,2024-12-27,584.91,shipped
O00083,C0471,P038,1,2024-03-09,13.01,delivered
O00084,C0123,P020,1,2024-07-10,18.86,delivered
O00085,C0262,P025,1,2024-03-11,149.94,delivered
O00086,C0217,P012,1,2024-10-02,194.97,delivered
O00087,C0331,P012,2,2024-09-07,389.94,delivered
O00088,C0096,P021,3,2024-11-13,169.86,delivered
O00089,C0184,P001,1,2024-04-09,197.58,shipped
O00090,C0494,P036,1,2024-09-10,27.37,delivered
O00091,C0252,P027,2,2024-08-15,189.24,delivered
O00092,C0043,P037,1,2025-01-24,32.26,delivered
O00093,C0017,P018,1,2024-05-27,38.55,delivered
O00094,C0235,P037,2,2025-01-27,64.52,delivered
O00095,C0262,P008,2,2024-05-17,544.1,shipped
O00096,C0422,P024,1,2025-01-22,113.81,delivered
O00097,C0369,P029,1,2024-08-05,46.41,delivered
O00098,C0425,P016,1,2024-01-17,10.06,delivered
O00099,C0179,P006,1,2024-03-01,42.95,shipped
O00100,C0122,P014,3,2024-10-28,32.04,delivered
O00101,C0441,P028,1,2024-03-12,65.53,shipped
O00102,C0417,P014,3,2024-10-18,32.04,delivered
O00103,C0144,P039,1,2024-06-14,21.0,cancelled
O00104,C0150,P019,2,2025-03-15,74.12,delivered
O00105,C0461,P007,1,2025-01-19,484.38,shipped
O00106,C0471,P004,5,2025-03-19,2154.55,delivered
O00107,C0360,P009,1,2024-12-30,132.79,delivered
O00108,C0127,P026,1,2024-10-22,138.02,delivered
O00109,C0322,P027,1,2024-02-08,94.62,delivered
O00110,C0451,P006,1,2025-01-18,42.95,delivered
O00111,C0480,P024,1,2024-09-06,113.81,delivered
O00112,C0002,P006,2,2024-08-22,85.9,delivered
O00113,C0358,P023,3,2025-02-11,423.6,delivered
O00114,C0112,P028,3,2024-09-10,196.59,delivered
O00115,C0425,P019,1,2024-10-22,37.06,delivered
O00116,C0437,P032,2,2024-12-15,56.26,shipped
O00117,C0024,P007,2,2025-03-04,968.76,delivered
O00118,C0064,P011,1,2024-01-01,462.28,cancelled
O00119,C0220,P013,5,2024-03-08,228.4,shipped
O00120,C0155,P011,3,2025-03-24,1386.84,delivered
O00121,C0336,P024,1,2024-07-09,113.81,delivered
O00122,C0333,P011,1,2024-11-16,462.28,delivered
O00123,C0359,P015,1,2024-02-16,43.03,delivered
O00124,C0001,P014,1,2024-03-08,10.68,delivered
O00125,C0266,P029,1,2024-12-22,46.41,delivered
O00126,C0062,P028,2,2024-09-01,131.06,delivered
O00127,C0197,P006,2,2024-02-22,85.9,delivered
O00128,C0189,P020,1,2025-01-31,18.86,shipped
O00129,C0448,P009,2,2024-12-12,265.58,delivered
O00130,C0272,P037,1,2024-11-28,32.26,delivered
O00131,C0180,P014,2,2024-03-18,21.36,pending
O00132,C0316,P029,3,2024-02-14,139.23,shipped
O00133,C0072,P008,2,2024-07-15,544.1,delivered
O00134,C0220,P021,2,2024-05-06,113.24,delivered
O00135,C0044,P016,2,2024-11-03,20.12,delivered
O00136,C0146,P002,3,2024-12-03,827.7,shipped
O00137,C0106,P034,2,2024-04-06,79.9,delivered
O00138,C0152,P004,2,2025-02-10,861.82,pending
O00139,C0254,P025,1,2024-09-12,149.94,delivered
O00140,C0037,P034,3,2024-01-07,119.85,cancelled
O00141,C0479,P021,1,2025-03-16,56.62,shipped
O00142,C0216,P024,1,2024-03-29,113.81,shipped
O00143,C0489,P005,1,2024-02-04,405.8,delivered
O00144,C0111,P003,4,2025-02-08,1707.72,delivered
O00145,C0147,P033,2,2024-08-04,86.92,delivered
O00146,C0043,P035,1,2024-03-19,34.4,delivered
O00147,C0159,P006,1,2024-04-14,42.95,cancelled
O00148,C0080,P035,1,2024-10-27,34.4,delivered
O00149,C0428,P005,1,2024-08-11,405.8,delivered
O00150,C0434,P016,1,2024-02-14,10.06,pending
O00151,C0060,P030,2,2024-01-29,52.46,delivered
O00152,C0380,P012,1,2024-12-28,194.97,delivered
O00153,C0006,P011,1,2024-06-26,462.28,delivered
O00154,C0401,P017,1,2024-03-05,17.78,delivered
O00155,C0448,P018,2,2024-03-01,77.1,shipped
O00156,C0016,P022,3,2024-05-19,411.78,delivered
O00157,C0135,P037,2,2024-09-11,64.52,delivered
O00158,C0185,P004,1,2024-10-17,430.91,delivered
O00159,C0081,P017,2,2024-10-20,35.56,delivered
O00160,C0060,P015,2,2024-01-02,86.06,delivered
O00161,C0442,P001,1,2024-08-29,197.58,delivered
O00162,C0472,P010,1,2025-03-15,175.18,delivered
O00163,C0412,P027,1,2024-05-07,94.62,delivered
O00164,C0369,P021,1,2024-02-09,56.62,delivered
O00165,C0062,P033,2,2024-01-27,86.92,delivered
O00166,C0412,P034,5,2024-07-24,199.75,delivered
O00167,C0239,P019,2,2024-06-08,74.12,delivered
O00168,C0284,P030,1,2024-04-12,26.23,delivered
O00169,C0402,P020,2,2024-05-04,37.72,delivered
O00170,C0303,P032,5,2025-02-01,140.65,delivered
O00171,C0462,P035,2,2024-05-05,68.8,delivered
O00172,C0478,P027,1,2024-10-04,94.62,delivered
O00173,C0430,P001,4,2024-01-01,790.32,shipped
O00174,C0193,P020,1,2024-09-28,18.86,cancelled
O00175,C0215,P032,4,2024-03-13,112.52,delivered
O00176,C0048,P003,4,2025-03-08,1707.72,delivered
O00177,C0359,P024,1,2025-01-17,113.81,delivered
O00178,C0049,P033,1,2025-02-23,43.46,delivered
O00179,C0304,P037,1,2024-12-05,32.26,pending
O00180,C0122,P019,1,2024-06-10,37.06,pending
O00181,C0202,P021,1,2024-05-19,56.62,delivered
O00182,C0484,P013,1,2025-01-29,45.68,delivered
O00183,C0080,P007,1,2024-08-26,484.38,delivered
O00184,C0062,P035,1,2025-01-29,34.4,delivered
