date,open,high,low,close,volume
2025-01-01,100.21,102.21,99.43,100.0,1128112
2025-01-02,100.78,103.87,100.33,101.72,932619
2025-01-03,103.17,103.97,99.87,102.3,873772
2025-01-06,103.22,104.75,101.13,102.85,1054607
2025-01-07,100.01,101.19,98.04,100.19,1037835
2025-01-08,99.39,98.82,97.41,98.63,809392
2025-01-09,97.61,98.83,96.42,96.79,1189014
2025-01-10,97.17,99.83,95.12,97.45,1027349
2025-01-13,96.39,96.71,95.46,96.12,990945
2025-01-14,93.47,96.02,93.78,94.37,791120
2025-01-15,96.9,98.45,95.21,96.3,895880
2025-01-16,95.21,96.22,95.13,95.87,1103377
2025-01-17,96.81,98.21,95.42,96.15,789681
2025-01-20,102.89,104.18,99.94,102.43,769515
2025-01-21,100.66,102.24,98.63,100.13,895142
2025-01-22,98.28,100.65,98.13,98.26,808037
2025-01-23,98.51,101.23,97.69,98.92,1053194
2025-01-24,97.44,97.83,96.25,97.33,971130
2025-01-27,99.84,102.18,99.0,100.3,1081344
2025-01-28,99.27,100.6,97.68,98.8,777413
2025-01-29,98.45,98.72,97.91,98.29,978231
2025-01-30,98.06,100.62,98.18,98.52,786656
2025-01-31,98.24,100.96,96.93,99.17,1361772
2025-02-03,91.29,94.06,90.65,92.2,1112153
2025-02-04,90.02,91.9,88.53,90.76,863826
2025-02-05,84.83,86.25,84.64,85.59,624364
2025-02-06,81.79,82.75,81.7,82.38,899864
2025-02-07,79.63,81.12,78.59,80.26,1031430
2025-02-10,77.74,79.59,78.23,78.44,1337272
2025-02-11,79.2,80.68,79.26,79.71,872515
2025-02-12,80.75,82.95,79.73,81.01,1035215
2025-02-13,81.4,82.36,80.66,81.27,1206555
2025-02-14,80.9,81.89,80.78,81.49,811705
2025-02-17,76.94,76.45,74.41,76.29,582085
2025-02-18,76.41,76.24,74.85,75.93,1009932
2025-02-19,77.86,78.27,76.46,77.15,1199340
2025-02-20,78.49,80.49,78.34,79.26,1028972
2025-02-21,79.66,80.75,78.57,78.9,842674
2025-02-24,75.05,75.56,74.09,74.54,732194
2025-02-25,73.58,74.79,73.56,73.88,1245851
2025-02-26,76.49,77.87,74.62,76.11,1268492
2025-02-27,76.93,77.61,76.53,76.73,1140441
2025-02-28,77.18,78.12,76.76,77.51,845574
2025-03-03,81.03,82.47,79.69,80.74,682590
2025-03-04,77.74,77.84,75.6,77.04,1131348
2025-03-05,77.84,77.74,75.63,77.29,1031351
2025-03-06,78.69,80.43,77.43,79.06,957234
2025-03-07,75.91,77.39,74.77,76.09,1278725
2025-03-10,76.43,78.32,74.97,76.42,907673
2025-03-11,75.23,76.08,74.48,75.25,1121933
2025-03-12,76.85,77.64,75.47,76.72,1299450
2025-03-13,76.99,76.51,75.55,76.3,1242961
2025-03-14,77.7,78.7,77.01,77.61,947979
2025-03-17,77.31,78.7,76.7,77.89,739831
